0,N
1,Y
2,Y
4,Y
6,Y
7,Y
8,Y
9,N
10,N
11,N
12,N
13,N
15,Y
21,Y
22,N
23,N
24,Y
25,N
26,N
27,Y
29,Y
30,Y
31,Y
32,N
34,N
35,N
36,Y
38,N
39,N
40,N
42,N
43,N
46,N
47,N
48,N
49,N
50,Y
51,Y
52,Y
53,N
55,Y
57,Y
58,Y
59,N
60,N
61,Y
62,Y
63,N
65,N
66,Y
67,Y
68,Y
70,N
71,Y
72,Y
73,Y
74,Y
75,N
78,N
79,N
80,N
81,N
82,N
83,Y
84,N
85,N
86,N
87,N
88,N
89,N
90,N
93,N
94,N
95,N
96,N
97,N
98,N
99,N
100,N
101,N
102,N
103,N
104,N
105,N
106,N
107,N
108,N
109,N
112,Y
113,N
115,Y
116,N
117,N
119,N
120,N
121,N
122,N
123,N
125,N
126,Y
127,Y
129,Y
131,N
132,Y
133,Y
136,Y
140,N
144,Y
146,Y
147,Y
148,Y
149,Y
150,Y
151,Y
152,Y
153,Y
154,Y
155,Y
156,Y
157,Y
158,Y
159,Y
160,Y
161,Y
162,Y
163,Y
164,Y
165,Y
166,Y
167,Y
168,Y
169,Y
170,Y
171,Y
2Nested-2,UNKNOWN
2Nested_false-termination_true-valid-memsafety,UNKNOWN
4NestedWith3Variables-2,UNKNOWN
a.09_assume,YES
a.09_assume_false-no-overflow,UNKNOWN
AliasDarteFeautrierGonnord-SAS2010-exmini,UNKNOWN
AliasDarteFeautrierGonnord-SAS2010-terminate,UNKNOWN
b.03-no-inv_assume,YES
b.03_assume,YES
b.03_assume_false-no-overflow,UNKNOWN
b.04,YES
Bangalore-1,UNKNOWN
Bangalore_v2,NO
Bangalore_v3,UNKNOWN
Bangalore_v4,YES
Cairo,YES
Cairo_step2-2,UNKNOWN
ChenFlurMukhopadhyay-SAS2012-Ex2.01,UNKNOWN
ChenFlurMukhopadhyay-SAS2012-Ex2.02,UNKNOWN
ChenFlurMukhopadhyay-SAS2012-Ex2.07,UNKNOWN
ChenFlurMukhopadhyay-SAS2012-Ex2.08,UNKNOWN
ChenFlurMukhopadhyay-SAS2012-Ex2.10,UNKNOWN
ChenFlurMukhopadhyay-SAS2012-Ex2.11,UNKNOWN
ChenFlurMukhopadhyay-SAS2012-Ex2.12,UNKNOWN
ChenFlurMukhopadhyay-SAS2012-Ex2.13,UNKNOWN
ChenFlurMukhopadhyay-SAS2012-Ex2.14,UNKNOWN
ChenFlurMukhopadhyay-SAS2012-Ex2.15,UNKNOWN
ChenFlurMukhopadhyay-SAS2012-Ex2.16,UNKNOWN
ChenFlurMukhopadhyay-SAS2012-Ex3.02,UNKNOWN
ChenFlurMukhopadhyay-SAS2012-Ex3.03,UNKNOWN
ChenFlurMukhopadhyay-SAS2012-Ex3.04,UNKNOWN
ChenFlurMukhopadhyay-SAS2012-Ex3.05,UNKNOWN
ColonSipma-TACAS2001-Fig1,UNKNOWN
ComplInterv_false-no-overflow_false-termination,UNKNOWN
ConvLower,NO
CookSeeZuleger-TACAS2013-Fig1,YES
CookSeeZuleger-TACAS2013-Fig8a-modified,YES
CookSeeZuleger-TACAS2013-Fig8a,YES
CookSeeZuleger-TACAS2013-Fig8b,YES
Copenhagen,YES
Copenhagen_disj-1,UNKNOWN
Cousot_false-no-overflow_false-termination,UNKNOWN
DoubleNeg_false-no-overflow_false-termination,UNKNOWN
Even_false-no-overflow_false-termination,UNKNOWN
Ex01_false-no-overflow_false-termination,UNKNOWN
Ex02,NO
Ex04_false-no-overflow_false-termination,UNKNOWN
Ex07,NO
GulavaniGulwani-CAV2008-Fig1c,UNKNOWN
Hanoi_2vars,UNKNOWN
Hanoi_3vars,UNKNOWN
Hanoi_plus,UNKNOWN
LeikeHeizmann-TACAS2014-Ex1,YES
LeikeHeizmann-TACAS2014-Ex9,YES
LeikeHeizmann-TACAS2014-Fig1,UNKNOWN
LeikeHeizmann-WST2014-Ex5,UNKNOWN
LeikeHeizmann-WST2014-Ex6,UNKNOWN
Marbie1_false-no-overflow_false-termination,UNKNOWN
Marbie2_false-no-overflow_false-termination,UNKNOWN
Masse-VMCAI2014-Ex6,UNKNOWN
Middle_false-no-overflow_false-termination,UNKNOWN
NonTermination1,UNKNOWN
NonTerminationSimple2,UNKNOWN
NonTerminationSimple3,UNKNOWN
Overflow_false-no-overflow_true-termination,UNKNOWN
PastaA10,YES
PastaA4,YES
PastaA5_false-no-overflow_true-termination,UNKNOWN
PastaA6_false-no-overflow_true-termination,UNKNOWN
PastaA7,YES
PastaA8_false-no-overflow_true-termination,UNKNOWN
PastaB1,YES
PastaB11_false-no-overflow_true-termination,UNKNOWN
PastaB2,YES
PastaB4,YES
PastaB6,YES
PastaB7,YES
PastaC3,YES
PastaC7,YES
PastaC7_false-no-overflow,UNKNOWN
PodelskiRybalchenko-TACAS2011-Fig1,YES
Sunset,NO
TrueDiv_false-no-overflow_false-termination,UNKNOWN
TwoFloatInterv,NO
Urban-WST2013-Fig1,NO
Waldkirch,YES
WhileDecr,YES
WhileIncrPart_false-no-overflow_false-termination,UNKNOWN
WhileIncr_false-no-overflow_false-termination,UNKNOWN
WhilePart,NO
WhileSingle,NO
WhileTrueInc_false-no-overflow_false-termination,UNKNOWN
