2,2_2.bpl,3,0,0,21.61
1,1_171.bpl,1,2,0,5.31
1,1_151.bpl,1,2,0,5.47
2,2_144.bpl,2,0,1,5.9
1,1_55.bpl,1,2,0,5.34
1,1_167.bpl,2,1,0,5.38
2,2_126.bpl,3,0,0,5.14
1,1_61.bpl,0,3,0,5.82
2,2_73.bpl,0,0,3,6.23
1,1_158.bpl,2,1,0,6.24
1,1_162.bpl,0,3,0,5.06
1,1_133.bpl,3,0,0,9.27
4,4_154.bpl,0,0,3,4.77
1,1_149.bpl,2,1,0,6.31
2,2_67.bpl,2,0,1,5.64
1,1_159.bpl,3,0,0,5.64
3,3_15.bpl,0,0,3,4.85
1,1_115.bpl,3,0,0,7.32
3,3_68.bpl,1,0,2,5.36
1,1_150.bpl,0,3,0,5.46
1,1_164.bpl,2,1,0,5.48
1,1_83.bpl,1,2,0,6.08
1,1_30.bpl,0,3,0,5.02
1,1_148.bpl,1,2,0,4.72
1,1_36.bpl,3,0,0,5.31
2,2_72.bpl,3,0,0,6.73
1,1_166.bpl,0,3,0,6.23
1,1_52.bpl,3,0,0,6.9
2,2_156.bpl,3,0,0,8.44
1,1_1.bpl,1,2,0,5.78
1,1_168.bpl,2,1,0,5.33
1,1_163.bpl,1,2,0,6.18
1,1_152.bpl,1,2,0,4.6
1,1_57.bpl,3,0,0,5.36
1,1_132.bpl,3,0,0,14.64
3,3_2.bpl,0,0,3,5.6
1,1_153.bpl,1,2,0,5.26
1,1_165.bpl,0,3,0,6.59
1,1_160.bpl,1,2,0,6.61
1,1_58.bpl,3,0,0,5.29
2,2_66.bpl,3,0,0,5.9
1,1_29.bpl,1,2,0,5.41
1,1_127.bpl,1,2,0,6.68
1,1_161.bpl,2,1,0,5.43
2,2_51.bpl,0,0,3,6.22
