2_ChenFlurMukhopadhyay-SAS2012-Ex2.08.bpl,1,2,2,221.87
1_LeikeHeizmann-TACAS2014-Ex9.bpl,1,1,1,35.48
1_ChenFlurMukhopadhyay-SAS2012-Ex2.10.bpl,1,1,1,54.23
1_PastaA8_false-no-overflow_true-termination.bpl,1,1,1,22.6
2_2.bpl,2,2,2,298.41
1_LeikeHeizmann-TACAS2014-Ex1.bpl,1,1,1,29.94
1_Copenhagen.bpl,1,1,1,40.2
3_ChenFlurMukhopadhyay-SAS2012-Ex3.03.bpl,3,3,3,125.75
1_PodelskiRybalchenko-TACAS2011-Fig1.bpl,1,1,1,48.34
1_ChenFlurMukhopadhyay-SAS2012-Ex2.07.bpl,1,2,1,98.46
1_b.03_assume_false-no-overflow.bpl,1,1,1,27.04
1_171.bpl,1,1,1,68.73
1_151.bpl,2,2,2,240.82
2_144.bpl,3,2,4,146.5
1_55.bpl,1,2,1,189.51
1_167.bpl,1,1,1,50.01
2_126.bpl,2,2,2,252.92
1_PastaC7.bpl,1,1,1,123.62
2_2Nested-2.bpl,1,1,1,125.52
1_a.09_assume.bpl,1,1,1,26.85
2_ChenFlurMukhopadhyay-SAS2012-Ex3.05.bpl,3,2,2,189.91
1_61.bpl,1,1,1,48.01
2_73.bpl,2,2,1,141.28
1_158.bpl,2,2,2,191.35
1_PastaA7.bpl,1,1,1,51.39
1_162.bpl,2,2,2,127.6
2_157.bpl,1,2,2,83.26
1_133.bpl,1,1,1,41.23
1_149.bpl,1,1,1,47.14
1_b.04.bpl,1,1,1,24.78
1_PastaB7.bpl,1,1,1,27.8
2_67.bpl,2,2,2,209.0
1_159.bpl,2,1,2,61.69
2_ChenFlurMukhopadhyay-SAS2012-Ex2.13.bpl,2,2,1,82.92
1_115.bpl,1,1,1,24.71
3_68.bpl,2,2,2,102.58
1_150.bpl,1,1,1,41.84
1_164.bpl,2,1,1,74.22
2_ChenFlurMukhopadhyay-SAS2012-Ex2.16.bpl,2,2,2,65.44
2_LeikeHeizmann-TACAS2014-Fig1.bpl,2,2,2,100.27
1_83.bpl,1,1,2,163.12
1_PastaB6.bpl,1,1,1,21.06
1_30.bpl,1,1,1,49.71
1_148.bpl,2,2,3,112.81
1_36.bpl,1,1,1,19.04
2_72.bpl,2,2,2,143.93
1_Waldkirch.bpl,1,1,1,11.7
1_PastaA6_false-no-overflow_true-termination.bpl,1,1,1,16.44
1_166.bpl,1,2,2,324.77
1_PastaA4.bpl,1,1,1,17.41
4_4NestedWith3Variables-2.bpl,2,2,2,124.74
1_52.bpl,1,1,1,10.79
1_WhileDecr.bpl,1,1,1,10.04
1_PastaA5_false-no-overflow_true-termination.bpl,1,1,1,13.21
4_AliasDarteFeautrierGonnord-SAS2010-exmini.bpl,1,1,1,83.28
1_PastaB2.bpl,1,1,1,26.74
2_156.bpl,2,3,1,142.99
1_PastaC7_false-no-overflow.bpl,1,1,1,78.11
1_PastaB4.bpl,1,1,1,31.3
1_1.bpl,1,1,1,65.49
1_168.bpl,1,1,1,110.61
1_a.09_assume_false-no-overflow.bpl,1,1,1,20.59
1_163.bpl,2,2,2,73.71
2_154.bpl,2,2,1,343.49
1_152.bpl,2,1,1,85.14
1_57.bpl,1,1,1,17.85
1_132.bpl,1,1,1,20.8
2_ChenFlurMukhopadhyay-SAS2012-Ex3.04.bpl,2,1,2,166.13
1_b.03_assume.bpl,1,1,1,23.56
4_7.bpl,3,4,4,152.04
1_153.bpl,2,2,2,88.75
1_GulavaniGulwani-CAV2008-Fig1c.bpl,1,1,1,32.23
1_165.bpl,1,1,1,25.89
1_PastaB11_false-no-overflow_true-termination.bpl,1,1,1,25.73
1_PastaB1.bpl,1,1,1,24.86
1_160.bpl,1,1,1,117.57
2_AliasDarteFeautrierGonnord-SAS2010-terminate.bpl,2,2,1,143.7
2_ColonSipma-TACAS2001-Fig1.bpl,3,2,1,201.06
2_ChenFlurMukhopadhyay-SAS2012-Ex2.01.bpl,2,3,2,118.28
1_58.bpl,1,1,1,25.54
2_66.bpl,1,2,2,194.0
1_29.bpl,1,1,1,57.26
1_127.bpl,2,2,2,90.53
1_161.bpl,1,1,1,98.65
2_51.bpl,2,1,2,74.36
