2_ChenFlurMukhopadhyay-SAS2012-Ex2.08.bpl,2,2,2,3.25
1_LeikeHeizmann-TACAS2014-Ex9.bpl,1,1,2,2.95
1_ChenFlurMukhopadhyay-SAS2012-Ex2.10.bpl,2,2,2,2.62
1_PastaA8_false-no-overflow_true-termination.bpl,1,1,1,2.72
1_LeikeHeizmann-TACAS2014-Ex1.bpl,2,1,1,2.41
1_Copenhagen.bpl,2,2,2,2.93
3_ChenFlurMukhopadhyay-SAS2012-Ex3.03.bpl,2,2,2,2.81
1_PodelskiRybalchenko-TACAS2011-Fig1.bpl,1,1,1,2.37
1_ChenFlurMukhopadhyay-SAS2012-Ex2.07.bpl,2,2,2,2.62
1_b.03_assume_false-no-overflow.bpl,1,1,2,2.43
1_PastaC7.bpl,1,2,2,2.37
2_2Nested-2.bpl,2,1,2,2.47
1_a.09_assume.bpl,1,1,2,2.67
2_ChenFlurMukhopadhyay-SAS2012-Ex3.05.bpl,1,2,2,2.36
1_b.04.bpl,2,2,2,2.77
2_ChenFlurMukhopadhyay-SAS2012-Ex2.13.bpl,2,2,2,2.57
2_ChenFlurMukhopadhyay-SAS2012-Ex2.16.bpl,2,2,2,2.75
2_LeikeHeizmann-TACAS2014-Fig1.bpl,2,2,2,2.69
1_PastaB6.bpl,1,1,1,2.44
1_Waldkirch.bpl,1,1,1,2.28
1_PastaA6_false-no-overflow_true-termination.bpl,1,1,1,2.43
1_PastaA4.bpl,1,1,1,2.73
1_WhileDecr.bpl,1,1,1,2.56
1_PastaA5_false-no-overflow_true-termination.bpl,1,1,1,2.33
1_PastaB2.bpl,2,1,2,2.75
1_PastaC7_false-no-overflow.bpl,2,2,2,2.35
1_PastaB4.bpl,2,1,2,2.53
1_a.09_assume_false-no-overflow.bpl,1,1,1,2.45
1_b.03_assume.bpl,1,1,1,2.88
1_GulavaniGulwani-CAV2008-Fig1c.bpl,1,1,1,2.22
1_PastaB11_false-no-overflow_true-termination.bpl,1,1,1,2.27
1_PastaB1.bpl,1,1,1,2.31
2_ChenFlurMukhopadhyay-SAS2012-Ex2.01.bpl,2,1,2,3.0
2_ChenFlurMukhopadhyay-SAS2012-Ex3.04.bpl,2,2,2,2.18
